"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","88.6","100.0","0.1","68.2","100.0","0.0","-20.4","-23.0","","0"
"Management occupations","=""11-0000""","Summary","4.0","4.5","0.0","3.1","4.5","0.0","-0.9","-23.0","2","1"
"Top executives","=""11-1000""","Summary","0.7","0.8","0.0","0.6","0.8","0.0","-0.2","-23.7","3","2"
"General and operations managers","=""11-1021""","Line Item","0.7","0.8","0.0","0.6","0.8","0.0","-0.2","-23.5","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-23.5","7","2"
"Marketing and sales managers","=""11-2020""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-23.5","9","3"
"Sales managers","=""11-2022""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-23.5","11","4"
"Operations specialties managers","=""11-3000""","Summary","2.6","2.9","0.1","2.0","3.0","0.1","-0.6","-22.7","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.4","0.4","0.1","0.3","0.4","0.1","-0.1","-23.5","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-23.5","17","4"
"Facilities managers","=""11-3013""","Line Item","0.3","0.3","0.2","0.2","0.3","0.2","-0.1","-23.5","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-18.1","19","3"
"Financial managers","=""11-3031""","Line Item","0.2","0.2","0.0","0.2","0.3","0.0","0.0","-15.8","20","3"
"Industrial production managers","=""11-3051""","Line Item","1.5","1.7","0.7","1.1","1.7","0.5","-0.3","-23.5","21","3"
"Purchasing managers","=""11-3061""","Line Item","0.2","0.2","0.2","0.1","0.2","0.2","0.0","-23.5","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","0.1","0.1","0.1","0.1","0.1","0.0","0.0","-23.5","23","3"
"Human resources managers","=""11-3121""","Line Item","0.2","0.2","0.1","0.1","0.2","0.1","0.0","-23.5","25","3"
"Other management occupations","=""11-9000""","Summary","0.5","0.5","0.0","0.4","0.5","0.0","-0.1","-23.5","27","2"
"Architectural and engineering managers","=""11-9041""","Line Item","0.3","0.3","0.1","0.2","0.3","0.1","-0.1","-23.5","35","3"
"Managers, all other","=""11-9199""","Line Item","0.2","0.2","0.0","0.2","0.2","0.0","0.0","-23.5","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","2.6","2.9","0.0","2.0","2.9","0.0","-0.7","-25.2","51","1"
"Business operations specialists","=""13-1000""","Summary","2.1","2.3","0.0","1.5","2.2","0.0","-0.5","-25.6","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","0.8","1.0","0.2","0.6","0.9","0.1","-0.3","-31.1","54","3"
"Human resources workers","=""13-1070""","Summary","0.4","0.5","0.0","0.3","0.5","0.0","-0.1","-25.0","60","3"
"Human resources specialists","=""13-1071""","Line Item","0.4","0.5","0.0","0.3","0.5","0.0","-0.1","-25.0","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","0.4","0.4","0.0","0.3","0.5","0.0","-0.1","-17.5","64","3"
"Logisticians","=""13-1081""","Line Item","0.3","0.3","0.1","0.2","0.3","0.1","0.0","-14.3","65","4"
"Project management specialists","=""13-1082""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-23.5","66","4"
"Management analysts","=""13-1111""","Line Item","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-23.5","67","3"
"Training and development specialists","=""13-1151""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-23.5","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-18.1","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-23.5","73","3"
